,进水流量,进水COD,进水SS,进水TP,进水TN,进水NH3,进水温度,进水ph,MLSS_2#A,MLSS_2#B,MLSS_3#,DO_2#A,DO_2#B,DO_3#,内回流量_2#A,内回流量_2#B,内回流量_3#,外回流量_2#A,外回流量_2#B,外回流量_3#,出水流量,出水COD,出水TP,出水TN,出水NH3
10,-0.7035220206975192,-0.6159420289855073,-0.6369529983792545,-0.39149888143176725,-0.43661971830985913,0.010204081632653406,-0.33333333333333337,1.0,0.39169034090909083,0.16438461538461535,0.49256505576208176,0.7878787890909085,0.22368421117036164,0.4431818189876018,-0.7035327759672088,-0.7035327759672088,-0.7035327782439376,-0.7035327782439409,-0.7035327782439409,-0.7035327782439393,-0.7134275845794091,0.5,1.0,-0.6588628762541808,-1.0
11,-0.6851481314141871,-0.5869565217391304,-0.6110210696920584,-0.3646532438478749,-0.39718309859154954,0.06122448979591866,-0.33333333333333337,1.0,0.425485321969697,0.21080769230769225,0.45631970260223054,0.7727272727272729,0.19078947325831064,0.40340908982438095,-0.6851535090490328,-0.6851535090490328,-0.6851535075312098,-0.6851535040402267,-0.6851535040402267,-0.685153510187396,-0.6948490764379036,0.5,1.0,-0.6521739130434785,-1.0
12,-0.6667742421308548,-0.5579710144927537,-0.5818476499189627,-0.3378076062639822,-0.352112676056338,0.12244897959183731,-0.33333333333333337,1.0,0.459280303030303,0.25723076923076915,0.4200743494423791,0.7575757581818177,0.15789473850415492,0.36363636611570094,-0.6667742421308542,-0.6667742421308542,-0.666774242130854,-0.6667742421308553,-0.6667742421308553,-0.6667742421308548,-0.676270568296398,0.5,1.0,-0.6521739130434785,-1.0
13,-0.6300264635641903,-0.5036231884057971,-0.5299837925445705,-0.28635346756152125,-0.2732394366197184,0.22448979591836782,-0.33333333333333337,0.4999999999999978,0.5268702651515151,0.3500769230769232,0.34758364312267664,0.7272727272727268,0.09210526268005581,0.28409090778925417,-0.6300157037410408,-0.6300157037410408,-0.6300157060177705,-0.6300157060177735,-0.6300157060177735,-0.6300157060177722,-0.6391564584987021,0.3999999999999999,4.440892098500626e-16,-0.6454849498327764,-1.0
14,-0.6116525742808581,-0.4782608695652174,-0.5040518638573743,-0.2595078299776288,-0.2338028169014088,0.2857142857142856,-0.33333333333333337,0.4999999999999978,0.5606652462121211,0.3965000000000001,0.3113382899628252,0.7121212127272722,0.05921052792589987,0.2443181840805766,-0.6116364368228648,-0.6116364368228648,-0.6116364353050456,-0.6116364318140628,-0.6116364318140628,-0.6116364379612309,-0.6205779503571964,0.30000000000000004,4.440892098500626e-16,-0.6454849498327764,-1.0
15,-0.5932356548118505,-0.4492753623188406,-0.47811993517017826,-0.23266219239373598,-0.19436619718309878,0.33673469387755084,-0.33333333333333337,0.4999999999999978,0.5944602272727273,0.442923076923077,0.275092936802974,0.6969696981818179,0.02631579001385176,0.2045454549173531,-0.5932571699046889,-0.5932571699046889,-0.5932571699046868,-0.593257169904688,-0.593257169904688,-0.5932571699046876,-0.6019994422156909,0.30000000000000004,4.440892098500626e-16,-0.6454849498327764,-1.0
16,-0.5564878762451859,-0.39492753623188404,-0.4262560777957861,-0.1789709172259507,-0.11549295774647916,0.44897959183673475,-0.33333333333333337,0.4999999999999978,0.6620501893939394,0.5357692307692308,0.2026022304832713,0.666666667272727,-0.03947368265235507,0.12500000204545225,-0.5564986315148754,-0.5564986315148754,-0.5564986337916031,-0.556498633791606,-0.556498633791606,-0.5564986337916051,-0.5648424259326797,0.19999999999999996,4.440892098500626e-16,-0.6387959866220736,-1.0
17,-0.5381139869618538,-0.3659420289855072,-0.40032414910858993,-0.15436241610738266,-0.07042253521126762,0.5,-0.33333333333333337,0.4999999999999978,0.6958451704545454,0.5821923076923077,0.16635687732342008,0.6515151527272718,-0.07236842056440451,0.0852272728822312,-0.5381193645966995,-0.5381193645966995,-0.5381193630788785,-0.5381193595878955,-0.5381193595878955,-0.5381193657350638,-0.5462639177911741,0.19999999999999996,4.440892098500626e-16,-0.6387959866220736,-1.0
18,-0.5197400976785215,-0.3405797101449275,-0.37439222042139386,-0.1275167785234902,-0.030985915492958038,0.5612244897959187,-0.33333333333333337,0.4999999999999978,0.7296401515151516,0.6286153846153846,0.13011152416356886,0.6363636363636362,-0.10526315847645407,0.04545454371900792,-0.5197400976785209,-0.5197400976785209,-0.5197400976785196,-0.5197400976785242,-0.5197400976785242,-0.5197400976785225,-0.5276854096496686,0.19999999999999996,4.440892098500626e-16,-0.6321070234113714,-1.0
19,-0.4829923191118569,-0.28623188405797106,-0.3225283630470016,-0.07382550335570492,0.047887323943661686,0.6734693877551023,-1.0,0.4999999999999978,0.7972301136363635,0.7214615384615384,0.05762081784386619,0.6060606072727266,-0.17105263114265945,-0.034090909152893034,-0.48298155928870745,-0.48298155928870745,-0.48298156156543604,-0.4829815615654387,-0.4829815615654387,-0.4829815615654379,-0.4905283933666573,0.10000000000000009,4.440892098500626e-16,-0.6321070234113714,-1.0
20,-0.46461842982852475,-0.25724637681159424,-0.29659643435980554,-0.04697986577181201,0.08732394366197171,0.7244897959183678,-1.0,0.4999999999999978,0.8310250946969697,0.7678846153846153,0.021375464684014966,0.5909090909090902,-0.203947369054709,-0.07386363831611642,-0.4646022923705315,-0.4646022923705315,-0.4646022908527113,-0.46460228736172804,-0.46460228736172804,-0.4646022935088967,-0.4719498852251518,0.10000000000000009,4.440892098500626e-16,-0.6321070234113714,-1.0
21,-0.44620151035951716,-0.2282608695652174,-0.27066450567260936,-0.020134228187919656,0.12676056338028174,0.7755102040816331,-1.0,0.4999999999999978,0.8648200757575757,0.8143076923076924,-0.014869888475836479,0.5757575763636358,-0.23684210380886483,-0.11363636202479388,-0.4462230254523556,-0.4462230254523556,-0.4462230254523525,-0.4462230254523568,-0.4462230254523568,-0.44622302545235537,-0.45337137708364617,0.0,4.440892098500626e-16,-0.6254180602006691,-1.0
