,进水流量,进水COD,进水SS,进水TP,进水TN,进水NH3,进水温度,进水ph,MLSS_2#A,MLSS_2#B,MLSS_3#,DO_2#A_1,DO_2#A_2,DO_2#A_3,DO_2#B_1,DO_2#B_2,DO_2#B_3,DO_3#_1,DO_3#_2,DO_3#_3,内回流量_2#A,内回流量_2#B,内回流量_3#,外回流量_2#A,外回流量_2#B,外回流量_3#,出水流量,出水COD,出水TP,出水TN,出水NH3
90,-0.10036790808752338,-0.1340579710144928,-0.3354943273905997,-0.2550335570469797,0.7633802816901407,0.5612244897959187,1.0,0.0,0.4195075757575757,0.053538461538461535,-0.3572490706319703,0.2142857142857142,0.47499999999999964,-0.5588235294117647,0.7142857142857142,0.7000000000000008,0.40000000000000036,-0.916666666666667,-0.14285714285714357,0.29166666666666696,-0.10036790808752438,-0.10036790808752438,-0.10036790808752094,-0.10036790808752527,-0.10036790808752527,-0.1003679080875235,-0.10986205564971141,-0.30000000000000004,4.440892098500626e-16,0.010033444816053283,0.714285714285714
91,-0.19206523376148366,-0.12681159420289856,-0.3484602917341977,-0.24384787472035807,0.8253521126760559,0.6326530612244903,1.0,0.0,0.45809659090909083,0.0683076923076924,-0.3614312267657993,0.19642857142857162,0.4562499999999998,-0.5808823529411763,0.7857142857142854,0.7750000000000004,0.40000000000000036,-0.9375000000000006,-0.14285714285714357,0.2604166666666674,-0.19206523376148388,-0.19206523376148388,-0.19206523376148366,-0.1920652337614862,-0.1920652337614862,-0.19206523376148432,-0.20236843798940207,-0.30000000000000004,4.440892098500626e-16,0.030100334448160515,0.714285714285714
92,-0.2378923815056262,-0.12681159420289856,-0.3581847649918962,-0.2371364653243847,0.8535211267605629,0.6632653061224492,1.0,0.0,0.4773910984848484,0.07569230769230773,-0.36352230483271375,0.1875,0.4468749999999999,-0.5919117647058826,0.8214285714285714,0.8125,0.40000000000000036,-0.9479166666666666,-0.14285714285714357,0.24479166666666674,-0.23791389659846496,-0.23791389659846496,-0.2379138965984634,-0.23791389659846496,-0.23791389659846496,-0.23791389659846374,-0.24862162915924746,-0.30000000000000004,4.440892098500626e-16,0.043478260869564966,0.714285714285714
93,-0.28376255943544393,-0.12318840579710144,-0.3646677471636953,-0.23042505592841167,0.8816901408450699,0.7040816326530612,1.0,0.0,0.49668560606060597,0.08307692307692305,-0.3656133828996283,0.1785714285714286,0.4375,-0.602941176470589,0.8571428571428563,0.8500000000000014,0.40000000000000036,-0.9583333333333335,-0.14285714285714357,0.22916666666666763,-0.2837625594354434,-0.2837625594354434,-0.28376255943544315,-0.2837625594354437,-0.2837625594354437,-0.28376255943544304,-0.29487482032909273,-0.19999999999999996,4.440892098500626e-16,0.05685618729096986,0.714285714285714
94,-0.3754598851094042,-0.1159420289855072,-0.3776337115072933,-0.21923937360178958,0.943661971830986,0.7653061224489799,1.0,0.0,0.5352746212121211,0.09784615384615392,-0.3697955390334573,0.16071428571428537,0.41874999999999973,-0.6250000000000004,0.9285714285714275,0.9250000000000007,0.40000000000000036,-0.9791666666666671,-0.14285714285714357,0.19791666666666652,-0.37545988510940553,-0.37545988510940553,-0.37545988510940276,-0.37545988510940476,-0.37545988510940476,-0.37545988510940387,-0.38733829618346816,-0.19999999999999996,4.440892098500626e-16,0.07692307692307643,0.714285714285714
95,-0.42128703285354674,-0.1159420289855072,-0.38735818476499184,-0.21252796420581654,0.971830985915493,0.806122448979592,1.0,0.0,0.5545691287878789,0.10523076923076924,-0.37188661710037174,0.1517857142857144,0.4093749999999998,-0.6360294117647057,0.9642857142857137,0.9625000000000004,0.40000000000000036,-0.9895833333333339,-0.14285714285714357,0.1822916666666674,-0.42130854794638395,-0.42130854794638395,-0.4213085479463825,-0.42130854794638706,-0.42130854794638706,-0.4213085479463853,-0.43359148735331343,-0.19999999999999996,4.440892098500626e-16,0.09030100334448155,0.714285714285714
96,-0.4671572107833646,-0.1123188405797102,-0.39384116693679094,-0.2058165548098435,1.0,0.8367346938775515,1.0,0.0,0.5738636363636365,0.11261538461538456,-0.3739776951672863,0.14285714285714302,0.3999999999999999,-0.647058823529412,1.0,1.0,0.40000000000000036,-1.0,-0.14285714285714357,0.16666666666666674,-0.46715721078336503,-0.46715721078336503,-0.46715721078336225,-0.4671572107833658,-0.4671572107833658,-0.4671572107833647,-0.4798446785231588,-0.19999999999999996,4.440892098500626e-16,0.10367892976588577,0.714285714285714
97,-0.4598420792185718,-0.1557971014492754,-0.413290113452188,-0.2550335570469797,0.943661971830986,0.806122448979592,1.0,0.0,0.5079308712121211,0.049153846153846104,-0.39219330855018586,0.07142857142857117,0.3937499999999998,-0.5441176470588234,0.8749999999999996,0.9250000000000007,0.3249999999999993,-0.8750000000000004,-0.19642857142857162,0.09374999999999978,-0.4598555255824123,-0.4598555255824123,-0.459855524823502,-0.4598555292251796,-0.4598555292251796,-0.4598555189798975,-0.47289382790208745,-0.19999999999999996,4.440892098500626e-16,0.1571906354515047,0.714285714285714
98,-0.4561845134361755,-0.17753623188405798,-0.42301458670988656,-0.2796420581655482,0.9154929577464788,0.7857142857142863,1.0,0.0,0.47496448863636354,0.017423076923076986,-0.4013011152416357,0.03571428571428559,0.390625,-0.4926470588235301,0.8124999999999993,0.8875000000000011,0.28749999999999964,-0.8125000000000003,-0.2232142857142857,0.057291666666667185,-0.45620468525866675,-0.45620468525866675,-0.4562046844997547,-0.4562046884460883,-0.4562046884460883,-0.45620468024986194,-0.46941840259155176,-0.19999999999999996,4.440892098500626e-16,0.19063545150501615,0.714285714285714
99,-0.4525699778394544,-0.19927536231884058,-0.4327390599675851,-0.3042505592841164,0.8873239436619718,0.7653061224489799,1.0,0.0,0.44199810606060597,-0.014307692307692355,-0.41040892193308554,0.0,0.38749999999999973,-0.4411764705882357,0.7499999999999991,0.8500000000000014,0.25,-0.7500000000000002,-0.24999999999999967,0.02083333333333437,-0.4525538403814623,-0.4525538403814623,-0.45255383886364164,-0.4525538353726577,-0.4525538353726577,-0.45255384151982636,-0.4659429772810161,-0.19999999999999996,4.440892098500626e-16,0.2173913043478255,0.714285714285714
